Application Name,Start Time,End Time,Active Time,Idle Time,Title,URL,Hour Type
OUTLOOK.EXE,3/19/2018 5:34:10 PM,3/19/2018 5:34:19 PM,00:00:09,00:00:00,Inbox - aviral.mittal@alight.com - Microsoft Outlook,,Productive
COMMUNICATOR.EXE,3/19/2018 5:34:19 PM,3/19/2018 5:34:23 PM,00:00:04,00:00:00,Microsoft Lync          ,,Productive
OUTLOOK.EXE,3/19/2018 5:34:23 PM,3/19/2018 5:35:12 PM,00:00:49,00:00:00,Inbox - aviral.mittal@alight.com - Microsoft Outlook,,Productive
OUTLOOK.EXE,3/19/2018 5:50:30 PM,3/19/2018 5:53:24 PM,00:02:54,00:00:00,Inbox - aviral.mittal@alight.com - Microsoft Outlook,,Productive
OUTLOOK.EXE,3/19/2018 6:13:15 PM,3/19/2018 6:18:55 PM,00:05:40,00:00:00,Inbox - aviral.mittal@alight.com - Microsoft Outlook,,Productive
OUTLOOK.EXE,3/19/2018 6:18:55 PM,3/19/2018 6:20:15 PM,00:00:00,00:01:20,Inbox - aviral.mittal@alight.com - Microsoft Outlook,,Productive
OUTLOOK.EXE,3/19/2018 6:20:15 PM,3/19/2018 6:20:40 PM,00:00:25,00:00:00,Inbox - aviral.mittal@alight.com - Microsoft Outlook,,Productive
PACE.EXE,3/19/2018 6:20:40 PM,3/19/2018 6:20:43 PM,00:00:03,00:00:00,PACE,,Productive
PACE.EXE,3/19/2018 6:20:43 PM,3/19/2018 6:20:46 PM,00:00:03,00:00:00,PaceProgressBar,,Productive
PACE.EXE,3/19/2018 6:20:46 PM,3/19/2018 6:20:56 PM,00:00:10,00:00:00,PACE,,Productive
PACE.EXE,3/19/2018 6:20:56 PM,3/19/2018 6:20:57 PM,00:00:01,00:00:00,,,Productive
OUTLOOK.EXE,3/19/2018 6:20:57 PM,3/19/2018 6:25:56 PM,00:04:59,00:00:00,Inbox - aviral.mittal@alight.com - Microsoft Outlook,,Productive
UEDIT32.EXE,3/19/2018 6:25:56 PM,3/19/2018 6:25:59 PM,00:00:03,00:00:00,UltraEdit-32 - [C:\Users\a0737176\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\69G9VEME\commarea_Credit.log],,Productive
UEDIT32.EXE,3/19/2018 6:25:59 PM,3/19/2018 6:26:04 PM,00:00:05,00:00:00,UltraEdit-32 - [Edit1],,Productive
UEDIT32.EXE,3/19/2018 6:26:04 PM,3/19/2018 6:27:02 PM,00:00:58,00:00:00,UltraEdit-32 - [Edit1*],,Productive
UEDIT32.EXE,3/19/2018 6:27:02 PM,3/19/2018 6:27:05 PM,00:00:03,00:00:00,UltraEdit,,Productive
